USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,26439,48.8,0.8,100064,96888,pts/0,S,15:44,40,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,1.0,0.0,2228,784,pts/0,S,15:44,40,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.5,0.7,100064,93740,pts/0,S,15:44,40,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,3.7,0.0,6128,3888,pts/0,S,15:44,40,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26563,1.6,0.0,6132,4108,pts/0,S,15:44,40,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 comp/require.t
root,26439,15.1,0.8,100064,96888,pts/0,S,15:44,45,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.1,0.0,2228,784,pts/0,S,15:44,45,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.2,0.7,100064,93740,pts/0,S,15:44,45,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,2.4,0.0,6128,3908,pts/0,S,15:44,45,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26439,4.1,0.8,100064,96888,pts/0,S,15:44,50,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,50,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,50,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,1.0,0.0,6184,4000,pts/0,S,15:44,50,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26439,2.7,0.8,100064,96888,pts/0,S,15:44,55,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,55,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,R,15:44,55,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.7,0.0,6184,4004,pts/0,S,15:44,55,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26931,2.8,0.0,6388,4544,pts/0,S,15:46,55,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,26439,1.7,0.8,100064,96888,pts/0,S,15:44,60,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,60,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,60,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.4,0.0,6184,4004,pts/0,S,15:44,60,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26931,0.0,0.0,6388,4544,pts/0,S,15:46,60,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,26439,1.4,0.8,100064,96888,pts/0,S,15:44,65,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,65,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,65,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.4,0.0,6184,4004,pts/0,S,15:44,65,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27030,0.2,0.0,8296,6208,pts/0,S,15:47,65,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/stat.t
root,26439,1.0,0.8,100064,96888,pts/0,S,15:44,70,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,70,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,70,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.3,0.0,6184,4008,pts/0,S,15:44,70,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26439,0.8,0.8,100064,96888,pts/0,S,15:44,75,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,75,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,75,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.3,0.0,6184,4008,pts/0,S,15:44,75,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27246,150,0.0,12004,10396,pts/0,R,15:49,75,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit re/pat_rt_report.t
root,26439,0.8,0.8,100064,96888,pts/0,S,15:44,80,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26524,0.0,0.0,2228,784,pts/0,S,15:44,80,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,26525,0.0,0.7,100064,93740,pts/0,S,15:44,80,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/500.perlbench_r.test.base --lognum 004.0.0 500.perlbench_r
root,26530,0.4,0.0,6184,4008,pts/0,S,15:44,80,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27352,133,0.0,11284,9508,pts/0,R,15:49,80,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit uni/variables.t
root,32229,78.2,0.8,97560,94168,pts/0,R,19:40,205,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32229,29.3,0.8,100108,96608,pts/0,S,19:40,210,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32311,0.0,0.0,2228,776,pts/0,S,19:40,210,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,32312,0.2,0.7,100108,93792,pts/0,S,19:40,210,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32316,4.5,0.0,6188,3980,pts/0,S,19:40,210,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32229,16.6,0.8,100108,96608,pts/0,S,19:40,215,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32311,0.0,0.0,2228,776,pts/0,S,19:40,215,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,32312,0.2,0.7,100108,93792,pts/0,S,19:40,215,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32316,2.3,0.0,6188,3980,pts/0,S,19:40,215,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32548,0.0,0.0,6388,4500,pts/0,S,19:41,215,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,32229,11.6,0.8,100108,96608,pts/0,S,19:40,220,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32311,0.0,0.0,2228,776,pts/0,S,19:40,220,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,32312,0.2,0.7,100108,93792,pts/0,S,19:40,220,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32316,1.4,0.0,6188,3980,pts/0,S,19:40,220,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32600,1.7,0.0,8296,6168,pts/0,S,19:41,220,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/stat.t
root,32229,8.9,0.8,100108,96608,pts/0,S,19:40,225,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32311,0.0,0.0,2228,776,pts/0,S,19:40,225,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,32312,0.2,0.7,100108,93792,pts/0,S,19:40,225,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32316,1.4,0.0,6188,3984,pts/0,S,19:40,225,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32652,107,0.2,27436,25324,pts/0,R,19:41,225,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit re/pat_psycho.t
root,32229,7.2,0.8,100108,96608,pts/0,S,19:40,230,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32311,0.0,0.0,2228,776,pts/0,S,19:40,230,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,32312,0.2,0.7,100108,93792,pts/0,S,19:40,230,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.base --lognum 009.0.0 500.perlbench_r
root,32316,2.5,0.0,6188,3984,pts/0,S,19:40,230,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32738,103,0.0,11284,9460,pts/0,R,19:41,230,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit uni/variables.t
root,1397,83.8,0.8,100176,96744,pts/0,S,19:42,270,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1437,0.0,0.0,2228,780,pts/0,S,19:42,270,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,1438,0.0,0.7,100176,93376,pts/0,S,19:42,270,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1397,31.2,0.8,100176,96744,pts/0,S,19:42,275,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1437,0.0,0.0,2228,780,pts/0,S,19:42,275,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,1438,0.0,0.7,100176,93840,pts/0,S,19:42,275,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1443,4.3,0.0,5764,3784,pts/0,S,19:42,275,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1735,0.0,0.0,6224,4068,pts/0,S,19:42,275,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sleep.t
root,1397,19.2,0.8,100176,96744,pts/0,S,19:42,280,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1437,0.0,0.0,2228,780,pts/0,S,19:42,280,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,1438,0.2,0.7,100176,93840,pts/0,S,19:42,280,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1443,2.3,0.0,5764,3784,pts/0,S,19:42,280,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1789,0.0,0.0,5964,4244,pts/0,S,19:42,280,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sselect.t
root,1397,13.8,0.8,100176,96744,pts/0,S,19:42,285,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1437,0.0,0.0,2228,780,pts/0,S,19:42,285,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,1438,0.3,0.7,100176,93840,pts/0,S,19:42,285,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 11 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/500.perlbench_r.test.peak --lognum 009.0.11 500.perlbench_r
root,1443,1.5,0.0,5764,3784,pts/0,S,19:42,285,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1893,0.7,0.0,7872,5924,pts/0,S,19:42,285,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/stat.t
