%CPU,%MEM,PSR,TIME,PID,CMD
2.0,0.6,6,125,8145,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 12 --tune peak --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/502.gcc_r.test.peak --lognum 005.0.12 502.gcc_r
65.9,0.8,4,1295,23381,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 12 --tune peak --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.test.peak --lognum 006.0.12 502.gcc_r
100,0.0,4,1295,23426,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/502.gcc_r/run/run_peak_test_mytest-64.0000 -f compare.cmd -E -e compare.err -o compare.stdout
0.0,0.7,7,1295,23427,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 12 --tune peak --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.test.peak --lognum 006.0.12 502.gcc_r
0.0,0.0,6,1295,23430,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/specdiff -m -l 10 --floatcompare --nonansupport /home/cpu2017/benchspec/CPU/502.gcc_r/data/test/output/t1.opts-O3_-finline-limit_50000.s t1.opts-O3_-finline-limit_50000.s
233,0.0,5,1410,25438,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
11.4,0.8,1,1415,25438,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
0.4,0.0,4,1415,25508,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/502.gcc_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,0,1415,25509,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
30.4,1.5,6,1415,25512,../run_base_train_mytest-64.0000/cpugcc_r_base.mytest-64 200.c -O3 -finline-limit=50000 -o 200.opts-O3_-finline-limit_50000.s
4.0,0.8,3,1420,25438,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
0.0,0.0,6,1420,25508,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/502.gcc_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,5,1420,25509,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
12.2,2.6,7,1420,25512,../run_base_train_mytest-64.0000/cpugcc_r_base.mytest-64 200.c -O3 -finline-limit=50000 -o 200.opts-O3_-finline-limit_50000.s
2.6,0.8,6,1425,25438,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
0.0,0.0,6,1425,25508,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/502.gcc_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,1,1425,25509,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
12.0,3.6,7,1425,25512,../run_base_train_mytest-64.0000/cpugcc_r_base.mytest-64 200.c -O3 -finline-limit=50000 -o 200.opts-O3_-finline-limit_50000.s
2.0,0.8,0,1430,25438,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/502.gcc_r.train.base --lognum 006.0.1 502.gcc_r
